ASV	Acanthamunnopsis3	Cyclothone1	Cyclothone2	Cyclothone3	Cyclothone4	Euphausia1	Euphausia2	Euphausia3	Euphausia4	Stenobrachius1	Stenobrachius2	Stenobrachius3	Stenobrachius4	Poeobius1	Poeobius3	Eusergestes1	Eusergestes2	Eusergestes4
Zotu2161	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu2279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu2049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0
Zotu1584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu88	251	21	98	110	0	1	0	0	1	671	0	0	53	0	0	1659	0	7
Zotu1591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
Zotu1647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu287	0	18	0	0	0	4	29	215	55	40	0	32	0	0	0	0	29	0
Zotu787	0	53	0	0	0	0	0	32	5	0	0	0	0	0	0	0	0	0
Zotu133	0	147	0	0	0	27	25	613	50	0	16	0	0	0	0	0	39	0
Zotu1438	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0
Zotu320	0	41	0	0	0	0	0	13	10	0	12	0	0	0	0	0	87	0
Zotu701	0	0	0	0	0	0	0	51	0	0	0	18	0	0	0	0	0	0
Zotu96	0	260	0	0	0	28	166	864	127	0	9	54	119	0	0	0	63	0
Zotu1170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	0
Zotu2065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu2239	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0
Zotu313	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	40	194	0
Zotu33	0	0	0	0	0	0	0	0	13	0	0	22	0	106	0	3115	4421	282
Zotu36	0	0	0	4770	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu562	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0
Zotu1417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu383	0	0	0	0	0	4	6	0	0	0	0	0	0	0	0	0	69	0
Zotu726	0	0	33	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Zotu1686	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu756	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu776	0	0	0	0	0	0	51	0	121	0	0	0	0	0	0	0	0	0
Zotu1716	0	0	0	0	0	48	0	3	0	0	0	0	0	0	0	0	0	0
Zotu1610	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu10	0	0	7174	5963	511	0	0	0	0	0	0	0	0	0	0	0	0	0
